seed,model,test_acc,test_f1,test_prec,test_rec,feature_set
42,etc,0.8596491228070176,0.8621681206768532,0.8713612239154033,0.8596491228070176,approx
42,rfc,0.8640350877192983,0.8662987483500184,0.8719158288773101,0.8640350877192983,approx
42,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
42,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
123,etc,0.8464912280701754,0.847851973961896,0.8515751499962027,0.8464912280701754,approx
123,rfc,0.8508771929824561,0.8531349638696448,0.8622365090107026,0.8508771929824561,approx
123,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
123,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
456,etc,0.8552631578947368,0.8582073428439907,0.8650573407500651,0.8552631578947368,approx
456,rfc,0.8508771929824561,0.8524976661645213,0.8592884967095663,0.8508771929824561,approx
456,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
456,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
789,etc,0.8552631578947368,0.8567137055037986,0.860857826384142,0.8552631578947368,approx
789,rfc,0.8552631578947368,0.8573641189818989,0.8633429436061015,0.8552631578947368,approx
789,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
789,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
1024,etc,0.8464912280701754,0.8486470172303588,0.8567741832265767,0.8464912280701754,approx
1024,rfc,0.8464912280701754,0.8502214454482481,0.8586274179037336,0.8464912280701754,approx
1024,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
1024,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
2024,etc,0.8552631578947368,0.8573164558353669,0.8660651629072682,0.8552631578947368,approx
2024,rfc,0.8596491228070176,0.8615200126796916,0.8657389181942262,0.8596491228070176,approx
2024,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
2024,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
314,etc,0.8508771929824561,0.8527568375328215,0.8591686435339687,0.8508771929824561,approx
314,rfc,0.8552631578947368,0.8574597393366533,0.8620935643897937,0.8552631578947368,approx
314,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
314,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
99,etc,0.8552631578947368,0.8567804152430868,0.8603346161716845,0.8552631578947368,approx
99,rfc,0.8552631578947368,0.8577277575490089,0.8638702306465464,0.8552631578947368,approx
99,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
99,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
7,etc,0.8552631578947368,0.8582073428439907,0.8650573407500651,0.8552631578947368,approx
7,rfc,0.8377192982456141,0.8404266890621198,0.8485558600176987,0.8377192982456141,approx
7,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
7,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
2000,etc,0.8552631578947368,0.8569245420299488,0.8628740073166463,0.8552631578947368,approx
2000,rfc,0.8508771929824561,0.8519650633455638,0.8571339290779019,0.8508771929824561,approx
2000,lr,0.7149122807017544,0.7111934431483303,0.712920818622573,0.7149122807017544,approx
2000,lsvc,0.7368421052631579,0.7347639415745099,0.7357712462975621,0.7368421052631579,approx
